SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
40,2,3,17,Illinois,12821814,12799088,12700641,12621821,12642259,12710158,-22726,-98447,-78820,20438,67899,33452,131890,129795,127001,125355,35280,128378,127015,116911,114343,-1828,3512,2780,10090,11012,508,11421,60951,92822,112955,-22335,-114221,-143390,-81875,-56235,-21827,-102800,-82439,10947,56720,929,841,839,-599,167,10.34442366,10.25137287,10.05387887,9.88899796,10.06896975,10.03180496,9.255116355,9.020283944,0.275453908,0.219567908,0.798762512,0.868714017,0.895774226,4.813986886,7.348140126,8.91078748,-8.958605011,-11.32512313,-6.481534257,-4.436263414,-8.062830785,-6.511136239,0.866605869,4.474524066
40,2,3,18,Indiana,6786587,6790497,6815907,6844545,6880131,6924275,3910,25410,28638,35586,44144,19436,77715,80484,79794,79422,19164,77891,79651,72089,70263,272,-176,833,7705,9159,342,6065,25958,25365,30852,1683,16463,4652,3173,4268,2025,22528,30610,28538,35120,1613,3058,-2805,-657,-135,11.42329744,11.78350468,11.62781548,11.50676096,11.44916761,11.66154678,10.5050203,10.17979332,-0.025870171,0.121957897,1.122795176,1.326967636,0.891491977,3.800459897,3.696262119,4.469877226,2.419889928,0.681090201,0.462378857,0.6183533,3.311381905,4.481550098,4.158640976,5.088230526
40,2,4,19,Iowa,3190546,3191141,3198613,3202820,3218414,3241488,595,7472,4207,15594,23074,9104,35887,36825,36475,36301,8028,35432,35586,32979,32472,1076,455,1239,3496,3829,199,3701,10340,16114,19439,-1231,1944,-6290,-3674,-231,-1032,5645,4050,12440,19208,551,1372,-1082,-342,37,11.2326703,11.50523641,11.36074468,11.23887019,11.09025481,11.11813558,10.2718574,10.05340329,0.142415498,0.387100826,1.088887276,1.1854669,1.158417053,3.230526665,5.018972989,6.018357554,0.608474129,-1.965184983,-1.144328333,-0.071518113,1.766891182,1.265341682,3.874644656,5.946839441
40,2,4,20,Kansas,2937745,2938172,2938338,2937324,2951500,2970606,427,166,-1014,14176,19106,8510,34168,34399,34698,33963,6966,32753,33207,30190,28731,1544,1415,1192,4508,5232,134,2072,6062,15340,18530,-1882,-4854,-7128,-5358,-4701,-1748,-2782,-1066,9982,13829,631,1533,-1140,-314,45,11.62867076,11.7089785,11.78435627,11.46990615,11.14709241,11.30323698,10.25332053,9.702967154,0.481578352,0.405741515,1.531035738,1.766938991,0.705180456,2.063427066,5.209868728,6.257908926,-1.652000933,-2.426279796,-1.819718164,-1.587610894,-0.946820477,-0.36285273,3.390150563,4.670298033
40,3,6,21,Kentucky,4506302,4508318,4507583,4519233,4550595,4588372,2016,-735,11650,31362,37777,12579,51363,52300,52506,52248,12784,58350,61278,54405,53140,-205,-6987,-8978,-1899,-892,119,1755,11149,26161,31430,1047,2704,10439,7297,7294,1166,4459,21588,33458,38724,1055,1793,-960,-197,-55,11.39386956,11.58769604,11.57816885,11.43411504,12.94379785,13.57688026,11.9969199,11.6293231,-1.549928288,-1.989184226,-0.41875105,-0.195208058,0.389312172,2.470195471,5.76879738,6.878239083,0.599829124,2.312886404,1.609071308,1.596241676,0.989141296,4.783081875,7.377868687,8.474480759
40,3,7,22,Louisiana,4657874,4652301,4627971,4593687,4588071,4597740,-5573,-24330,-34284,-5616,9669,13555,57028,56482,56594,53787,14800,56843,56802,50209,49828,-1245,185,-320,6385,3959,193,3186,13341,19250,23142,-5044,-27819,-47984,-31236,-17405,-4851,-24633,-34643,-11986,5737,523,118,679,-15,-27,12.29015701,12.24985789,12.32748674,11.71088759,12.25028749,12.31925973,10.93668555,10.84890599,0.039869521,-0.069401836,1.390801195,0.861981593,0.686617806,2.893405936,4.19309679,5.038640573,-5.995298414,-10.40680537,-6.803925784,-3.789540194,-5.308680608,-7.513399434,-2.610828994,1.249100379
40,1,1,23,Maine,1363196,1364571,1378931,1390922,1399646,1405012,1375,14360,11991,8724,5366,2997,11590,12059,11919,11609,3714,16131,17966,17061,16766,-717,-4541,-5907,-5142,-5157,60,1012,3255,4277,5196,1810,18016,14379,9598,5329,1870,19028,17634,13875,10525,222,-127,264,-9,-2,8.449055259,8.707321291,8.542346934,8.278371195,11.75942281,12.97252959,12.22761818,11.95582492,-3.310367552,-4.265208298,-3.685271242,-3.677453722,0.73774322,2.350305233,3.065325769,3.705264599,13.13357891,10.38250044,6.878886306,3.800106822,13.87132213,12.73280568,9.944212074,7.505371421
40,3,5,24,Maryland,6181629,6177935,6179403,6192440,6217062,6263220,-3694,1468,13037,24622,46158,17156,67431,69084,67587,65609,16945,59001,57638,53835,54005,211,8430,11446,13752,11604,505,9038,47782,43758,53100,-5487,-17763,-45928,-32748,-18509,-4982,-8725,1854,11010,34591,1077,1763,-263,-140,-37,10.91351552,11.16793998,10.892782,10.51402524,9.549143999,9.317609349,8.676415863,8.654451879,1.364371518,1.850330626,2.216366136,1.859573365,1.462774588,7.724313993,7.052337797,8.509423104,-2.874891016,-7.424601169,-5.277891087,-2.966118875,-1.412116428,0.299712824,1.77444671,5.54330423
40,1,1,25,Massachusetts,7033132,6994598,7000474,7022468,7066568,7136171,-38534,5876,21994,44100,69603,17113,66440,68959,68144,67851,22112,61657,63764,61574,61133,-4999,4783,5195,6570,6718,908,16475,72892,74610,90217,-29143,-14713,-54843,-36572,-27480,-28235,1762,18049,38038,62737,-5300,-669,-1250,-508,148,9.494770731,9.835168683,9.67333748,9.554635905,8.811244415,9.094239996,8.740697376,8.608621196,0.683526316,0.740928687,0.932640104,0.946014709,2.354400177,10.39610661,10.59121433,12.70416925,-2.102597257,-7.821896432,-5.191554624,-3.869676124,0.25180292,2.574210176,5.399659707,8.834493121
40,2,3,26,Michigan,10079338,10072703,10041351,10050877,10083356,10140459,-6635,-31352,9526,32479,57103,26588,102780,104459,100976,99589,31068,115239,117941,106040,102444,-4480,-12459,-13482,-5064,-2855,409,7044,33541,55863,67608,-4721,-29240,-8722,-17446,-7656,-4312,-22196,24819,38417,59952,2157,3303,-1811,-874,6,10.21972,10.39795089,10.03028027,9.848685819,11.4585553,11.73996234,10.53330415,10.13102622,-1.238835294,-1.342011448,-0.50302388,-0.282340399,0.700405796,3.338703901,5.549056674,6.685978882,-2.907419857,-0.868196399,-1.732968919,-0.757127179,-2.207014061,2.470507502,3.816087755,5.928851703
40,2,4,27,Minnesota,5706692,5710735,5718660,5721621,5753048,5793151,4043,7925,2961,31427,40103,16460,63012,64651,63128,61438,12738,51412,53371,49940,49658,3722,11600,11280,13188,11780,295,5523,21405,24328,29540,-1414,-10549,-29472,-5334,-1161,-1119,-5026,-8067,18994,28379,1440,1351,-252,-755,-56,11.02630542,11.30234476,11.00301891,10.64211694,8.996451693,9.330365224,8.704390514,8.601618593,2.029853724,1.971979534,2.298628396,2.040498349,0.966455355,3.742040952,4.240296605,5.116835419,-1.845941977,-5.152320996,-0.92970002,-0.201105143,-0.879486622,-1.410280045,3.310596585,4.915730276
40,3,6,28,Mississippi,2961278,2958536,2947209,2941939,2943172,2943045,-2742,-11327,-5270,1233,-127,8503,35004,34925,35064,33859,9649,41641,40616,35781,35843,-1146,-6637,-5691,-717,-1984,58,632,6869,5620,6789,-2054,-5802,-5877,-3481,-4939,-1996,-5170,992,2139,1850,400,480,-571,-189,7,11.85421992,11.86079888,11.91617286,11.50450281,14.10186183,13.79350629,12.15983862,12.17861999,-2.247641915,-1.932707414,-0.243665752,-0.674117179,0.214028882,2.332765283,1.909904503,2.306744723,-1.964866414,-1.995874446,-1.182985334,-1.678157635,-1.750837532,0.336890837,0.726919169,0.628587087
40,2,4,29,Missouri,6154854,6154744,6171374,6179414,6208038,6245466,-110,16630,8040,28624,37428,17239,68821,68942,68424,67589,16737,75335,75622,68514,66068,502,-6514,-6680,-90,1521,270,3856,11763,19460,23569,-1059,17206,4160,9638,12289,-789,21062,15923,29098,35858,177,2082,-1203,-384,49,11.16669498,11.16398403,11.0473082,10.8546157,12.22363765,12.24569639,11.06183903,10.6103471,-1.056942664,-1.081712357,-0.014530833,0.244268601,0.625663327,1.904817733,3.141889067,3.785119433,2.791795438,0.673641228,1.556090793,1.97358109,3.417458765,2.578458962,4.697979859,5.758700523
40,4,8,30,Montana,1084216,1087230,1106522,1122095,1131302,1137233,3014,19292,15573,9207,5931,2812,10841,11182,11024,11268,2516,12141,12886,11392,11256,296,-1300,-1704,-368,12,43,713,989,371,506,2776,20539,15661,9110,5410,2819,21252,16650,9481,5916,-101,-660,627,94,3,9.883523753,10.034923,9.784338934,9.93416456,11.06870786,11.5641225,10.11095692,9.923585045,-1.185184105,-1.529199499,-0.326617991,0.010579515,0.650027897,0.887545953,0.329280637,0.446102881,18.72499717,14.05445619,8.085570363,4.769598001,19.37502507,14.94200215,8.414851001,5.215700882
40,2,4,31,Nebraska,1961996,1963387,1964537,1972246,1987864,2005465,1391,1150,7709,15618,17601,6046,24411,24248,24611,24443,4450,19527,19385,18408,18308,1596,4884,4863,6203,6135,95,1581,7933,10744,12978,-762,-5984,-4437,-1077,-1498,-667,-4403,3496,9667,11480,462,669,-650,-252,-14,12.42946656,12.31868762,12.42945272,12.24191646,9.942656732,9.848142506,9.296711455,9.169292087,2.486809826,2.470545113,3.132741262,3.072624369,0.805005392,4.030194197,5.426111901,6.499840108,-3.046902129,-2.254124751,-0.543924285,-0.750251231,-2.241896737,1.776069446,4.882187616,5.749588877
40,4,8,32,Nevada,3105595,3116967,3148141,3176116,3214363,3267467,11372,31174,27975,38247,53104,8168,33362,33533,32797,31951,7007,32376,33468,29391,28893,1161,986,65,3406,3058,137,3612,7725,27009,33005,10423,25674,20262,8174,16853,10560,29286,27987,35183,49858,-349,902,-77,-342,188,10.65009574,10.60456588,10.2643323,9.858635601,10.3353366,10.58401011,9.198371515,8.915074909,0.314759139,0.020555774,1.065960783,0.943560692,1.153052749,2.442974724,8.452887491,10.1838524,8.195868292,6.407709238,2.558180694,5.20007467,9.34892104,8.850683962,11.01106818,15.38392707
40,1,1,33,New Hampshire,1377546,1378756,1387677,1396678,1402199,1409032,1210,8921,9001,5521,6833,2994,12044,12283,12093,11777,3502,13728,14714,14322,14140,-508,-1684,-2431,-2229,-2363,88,1542,1538,3480,4290,1272,8528,10011,4470,4889,1360,10070,11549,7950,9179,358,535,-117,-200,17,8.707241419,8.82286921,8.641322931,8.378535951,9.92469364,10.56905459,10.23410461,10.05965003,-1.217452221,-1.746185382,-1.592781676,-1.681114074,1.114792948,1.104744187,2.486711635,3.052043749,6.165339988,7.190893403,3.19413822,3.478191582,7.280132937,8.295637589,5.680849855,6.530235331
40,1,2,34,New Jersey,9289014,9272794,9270541,9295227,9379642,9500851,-16220,-2253,24686,84415,121209,24722,98005,102676,102459,101199,33991,84007,82754,77131,75189,-9269,13998,19922,25328,26010,901,14743,72909,107943,130692,-9110,-32628,-66769,-48148,-35554,-8209,-17885,6140,59795,95138,1258,1634,-1376,-708,61,10.57037475,11.06078671,10.97292838,10.71995313,9.060613962,8.914686427,8.260406003,7.964728463,1.509760785,2.146100285,2.712522374,2.755224665,1.590113105,7.854132401,11.56024173,13.84413002,-3.519108078,-7.192700027,-5.156448487,-3.766215215,-1.928994973,0.661432374,6.403793248,10.07791481
40,4,8,35,New Mexico,2117555,2118606,2117333,2113868,2121164,2130256,1051,-1273,-3465,7296,9092,5327,21433,21441,21571,20833,5510,24657,25427,22436,22270,-183,-3224,-3986,-865,-1437,155,2261,5702,9904,12103,729,-1039,-4616,-1487,-1571,884,1222,1086,8417,10532,350,729,-565,-256,-3,10.11959804,10.13471116,10.18693601,9.800490189,11.64181071,12.01880979,10.59543352,10.47649962,-1.522212666,-1.884098628,-0.408497504,-0.676009427,1.067531898,2.69521585,4.677178354,5.693627071,-0.490564194,-2.181886419,-0.702237905,-0.739047189,0.576967704,0.513329431,3.974940449,4.954579882
40,1,2,36,New York,20203772,20105171,19848276,19703747,19737367,19867248,-98601,-256895,-144529,33620,129881,53056,205414,209913,205888,205289,72834,177162,176582,166424,161588,-19778,28252,33331,39464,43701,1339,28775,111670,170450,207161,-72672,-300058,-295669,-176893,-120917,-71333,-271283,-183999,-6443,86244,-7490,-13864,6139,599,-64,10.28266723,10.6145266,10.44027306,10.36692315,8.86842129,8.929100795,8.439112546,8.160059124,1.414245935,1.6854258,2.001160515,2.206864023,1.440426404,5.646740244,8.643264995,10.46145759,-15.0203811,-14.95089139,-8.969979905,-6.106207572,-13.57995469,-9.304151143,-0.32671491,4.355250013
40,3,5,37,North Carolina,10441499,10449652,10564320,10710793,10881189,11046024,8153,114668,146473,170396,164835,28675,116747,121588,121223,121281,25880,115533,118218,108857,108649,2795,1214,3370,12366,12632,683,9924,43024,57839,69792,8159,103202,99380,98981,82288,8842,113126,142404,156820,152080,-3484,328,699,1210,123,11.11136914,11.43006855,11.22851992,11.06214456,10.99582697,11.11326647,10.08309473,9.909968951,0.115542174,0.316802078,1.145425186,1.152175609,0.94451444,4.04453786,5.357451669,6.365788484,9.82222685,9.342371061,9.168310718,7.505559416,10.76674129,13.38690892,14.52576239,13.8713479
40,2,4,38,North Dakota,779046,779563,777966,781057,789047,796568,517,-1597,3091,7990,7521,2563,10021,9800,9721,9592,1745,7758,7334,6907,6867,818,2263,2466,2814,2725,30,453,3287,4269,5126,-438,-3966,-2667,912,-291,-408,-3513,620,5181,4835,107,-347,5,-5,-39,12.86781819,12.57197617,12.38261924,12.09877555,9.961933293,9.40845645,8.798143308,8.661623408,2.905884899,3.163519717,3.584475933,3.437152146,0.581690614,4.216743435,5.437856346,6.465630055,-5.092682062,-3.421373514,1.161706486,-0.367050009,-4.510991449,0.795369921,6.599562832,6.098580046
40,2,3,39,Ohio,11799453,11798905,11767344,11777874,11824034,11883304,-548,-31561,10530,46160,59270,32340,128271,128860,128794,126575,33751,146873,149198,131659,127000,-1411,-18602,-20338,-2865,-425,517,9278,40470,51631,62378,-2752,-26839,-4998,-967,-2462,-2235,-17561,35472,50664,59916,3098,4602,-4604,-1639,-221,10.88599208,10.94574703,10.91386341,10.67812843,12.4646905,12.67331651,11.15664039,10.71398231,-1.578698417,-1.727569479,-0.242776982,-0.035853878,0.787397265,3.437640713,4.375154754,5.262336919,-2.277748996,-0.424544806,-0.081942528,-0.207699405,-1.490351731,3.013095908,4.293212227,5.054637514
40,3,7,40,Oklahoma,3959405,3965415,3992238,4026229,4063882,4095393,6010,26823,33991,37653,31511,11579,47473,48249,48693,47642,10346,50810,51638,45300,44506,1233,-3337,-3389,3393,3136,176,2181,12261,11835,14358,3911,26585,26026,22660,14036,4087,28766,38287,34495,28394,690,1394,-907,-235,-19,11.93140741,12.03446993,12.03765931,11.67799835,12.77009691,12.87976866,11.19885747,10.9093026,-0.838689498,-0.845298734,0.838801841,0.768695748,0.548151572,3.058190549,2.92579422,3.519430342,6.681618311,6.491515149,5.601900889,3.44050176,7.229769883,9.549705698,8.527695108,6.959932102
40,4,9,41,Oregon,4237224,4243779,4254280,4247372,4253653,4272371,6555,10501,-6908,6281,18718,10281,39659,40450,38835,38788,9566,41952,46451,43502,42519,715,-2293,-6001,-4667,-3731,177,2609,7458,19246,23590,5732,9304,-7730,-8014,-1162,5909,11913,-272,11232,22428,-69,881,-635,-284,21,9.333660781,9.515797636,9.136545299,9.098731132,9.873313424,10.92752326,10.23453054,9.973933923,-0.539652643,-1.411725627,-1.097985243,-0.875202791,0.614022567,1.754482541,4.527924574,5.533646164,2.18967649,-1.818470104,-1.885419699,-0.272577229,2.803699057,-0.063987564,2.642504874,5.261068934
40,1,2,42,Pennsylvania,13002909,12996143,13015571,12984990,13017721,13078751,-6766,19428,-30581,32731,61030,32903,130247,131688,129235,127571,40308,155702,155242,141059,136882,-7405,-25455,-23554,-11824,-9311,627,10198,37940,68035,82101,-3580,28184,-40405,-21730,-11500,-2953,38382,-2465,46305,70601,3592,6501,-4562,-1750,-260,10.01448809,10.12962759,9.940117398,9.77687712,11.97168322,11.94143465,10.84956103,10.49046017,-1.957195131,-1.811807061,-0.909443635,-0.713583047,0.784108268,2.918398568,5.232915906,6.292114888,2.167023673,-3.108009862,-1.67136419,-0.881345187,2.95113194,-0.189611293,3.561551717,5.410769701
40,1,1,44,Rhode Island,1097354,1096530,1097246,1099498,1103429,1112308,-824,716,2252,3931,8879,2546,10031,10445,10063,9924,3390,11327,11103,10508,10286,-844,-1296,-658,-445,-362,78,1070,8346,7852,9525,-373,356,-5028,-3281,-305,-295,1426,3318,4571,9220,315,586,-408,-195,21,9.14496284,9.509528648,9.13602675,8.957741826,10.3264873,10.10859709,9.54003469,9.284495407,-1.181524458,-0.599068439,-0.40400794,-0.326753581,0.975487014,7.598518535,7.12869741,8.597590779,0.324554558,-4.577684063,-2.978764162,-0.275303432,1.300041572,3.020834471,4.149933248,8.322287347
40,3,5,45,South Carolina,5118252,5132249,5194274,5287935,5387830,5478831,13997,62025,93661,99895,91001,13492,55815,57613,58152,57999,14075,64948,64615,58965,58516,-583,-9133,-7002,-813,-517,340,4027,13865,19225,23234,14991,67887,83940,80092,68043,15331,71914,97805,99317,91277,-751,-756,2858,1391,241,10.81002773,10.9925303,10.89420758,10.67466814,12.57887093,12.32850824,11.04651517,10.76982157,-1.768843201,-1.335977941,-0.152307586,-0.095153424,0.779933381,2.645434755,3.601615435,4.276198549,13.14808479,16.01570814,15.00445167,12.52325806,13.92801817,18.6611429,18.60606711,16.79945661
40,2,4,46,South Dakota,886729,887948,896492,909723,918305,924669,1219,8544,13231,8582,6364,2832,11064,11254,11171,11311,2021,9769,9207,8525,8723,811,1295,2047,2646,2588,64,1101,2570,1314,1616,325,6124,8253,4536,2132,389,7225,10823,5850,3748,19,24,361,86,28,12.40052902,12.46141794,12.22191345,12.27472553,10.94909327,10.19479962,9.326990615,9.466221444,1.451435745,2.266618315,2.894922835,2.808504081,1.234000583,2.845729883,1.437614741,1.753687247,6.863777992,9.138446973,4.96272486,2.313651739,8.097778575,11.98417686,6.400339601,4.067338986
